cve,severity,package,installed_version,fixed_version_in_scan,images,image_package_records,assessment_status
CVE-2025-69720,HIGH,ncurses-base,6.5+20250216-2,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2025-69720,HIGH,ncurses-bin,6.5+20250216-2,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-16742,HIGH,libsystemd0,257.13-1~deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-16742,HIGH,libudev1,257.13-1~deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-23102,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-23208,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-23327,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-31493,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-31536,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-31568,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-43185,CRITICAL,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-43198,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-43263,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-46130,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-46181,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-46279,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-52991,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-53000,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-53010,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-53089,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-53091,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-53109,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-53118,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-53277,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-53330,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-54369,HIGH,libacl1,2.3.2-2+b1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-58471,HIGH,wget,1.25.0-2,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-58472,HIGH,wget,1.25.0-2,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-63879,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-64283,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-68409,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-68426,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-68470,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-72042,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-72098,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-72463,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-74268,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-74269,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-74520,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-74611,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-74752,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-74753,HIGH,linux-libc-dev,6.12.107-1,,neo4j,1,open_technical_assessment_no_risk_acceptance
CVE-2026-76642,HIGH,bsdutils,1:2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-76642,HIGH,libblkid1,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-76642,HIGH,liblastlog2-2,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-76642,HIGH,libmount1,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-76642,HIGH,libsmartcols1,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-76642,HIGH,libuuid1,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-76642,HIGH,login,1:4.16.0-2+really2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-76642,HIGH,mount,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-76642,HIGH,util-linux,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-78408,HIGH,bsdutils,1:2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-78408,HIGH,libblkid1,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-78408,HIGH,liblastlog2-2,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-78408,HIGH,libmount1,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-78408,HIGH,libsmartcols1,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-78408,HIGH,libuuid1,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-78408,HIGH,login,1:4.16.0-2+really2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-78408,HIGH,mount,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
CVE-2026-78408,HIGH,util-linux,2.41.5-0+deb13u1,,ha-sync;neo4j;query-api;semantic-enrichment;world-model-chat,5,open_technical_assessment_no_risk_acceptance
